task_id,score,time_score,error_type,pred_thresh,true_thresh,pred_time,true_time
task_0,0.3362296403506248,0.3362296403506248,PERFECT,1,1,10.574971,3.5556187629699707
task_1,0.36464734233938817,0.36464734233938817,PERFECT,1,1,3.1227896,1.1387169361114502
task_2,0.10123256961039992,0.10123256961039992,PERFECT,1,1,64.34559,6.513869285583496
task_3,0.10507227448358271,0.10507227448358271,PERFECT,1,1,36.01662,3.784348249435425
task_4,0.3524943852159811,0.7049887704319622,SAFE (+1),16,8,17.112446,12.064082145690918
task_5,0.36050975218502973,0.7210195043700595,SAFE (+1),16,8,6.802966,4.905071258544922
task_6,0.41601070568826404,0.8320214113765281,SAFE (+1),16,8,18.833523,15.669894218444824
task_7,0.40532178572077115,0.8106435714415423,SAFE (+1),16,8,7.7463174,6.2795023918151855
task_8,0.3984785011477906,0.7969570022955812,SAFE (+1),2,1,10.816617,13.572397232055664
task_9,0.2184354946142782,0.8737419784571128,SAFE (+2),4,1,4.22584,3.692293882369995
task_10,0.43666930288855305,0.8733386057771061,SAFE (+1),2,1,11.236834,12.866525650024414
task_11,0.21530236465841193,0.8612094586336477,SAFE (+2),4,1,4.4320602,3.816932201385498
task_12,0.722184313518634,0.722184313518634,PERFECT,2,2,50.6607,70.1492691040039
task_13,0.6279099124742609,0.6279099124742609,PERFECT,2,2,15.189175,24.190053939819336
task_14,0.6996290508941821,0.6996290508941821,PERFECT,2,2,54.59062,78.02794647216797
task_15,0.5614427162624498,0.5614427162624498,PERFECT,2,2,18.316837,32.62458801269531
task_16,0.0,0.03023509523207893,FATAL,2,4,667.1517,20.17139434814453
task_17,0.0,0.07033914016824117,FATAL,2,4,1105.4891,77.7591552734375
task_18,0.12711565941141958,0.12711565941141958,PERFECT,4,4,362.91617,46.132328033447266
task_19,0.0,0.07726367273340015,FATAL,16,64,67.866615,878.3767700195312
task_20,0.0,0.13470657220723903,FATAL,16,64,30.439665,225.97015380859375
task_21,0.2657787491990923,0.2657787491990923,PERFECT,2,2,36.305717,9.649288177490234
task_22,0.4801886223563473,0.4801886223563473,PERFECT,2,2,16.953571,8.140912055969238
task_23,0.2595557270206851,0.2595557270206851,PERFECT,2,2,37.489773,9.730685234069824
task_24,0.45326270170835076,0.45326270170835076,PERFECT,2,2,18.605335,8.433104515075684
task_0,0.3005448818996656,0.3005448818996656,PERFECT,1,1,11.830575,3.5556187629699707
task_1,0.2922089741169949,0.2922089741169949,PERFECT,1,1,3.8969266,1.1387169361114502
task_2,0.1239213399982191,0.1239213399982191,PERFECT,1,1,52.56455,6.513869285583496
task_3,0.10308224926879286,0.10308224926879286,PERFECT,1,1,36.71193,3.784348249435425
task_4,0.44831398157214764,0.8966279631442953,SAFE (+1),16,8,13.454947,12.064082145690918
task_5,0.48321295928502367,0.9664259185700473,SAFE (+1),16,8,5.0754757,4.905071258544922
task_6,0.4756477284657273,0.9512954569314546,SAFE (+1),16,8,14.906699,15.669894218444824
task_7,0.4791672003250853,0.9583344006501706,SAFE (+1),16,8,6.552517,6.2795023918151855
task_8,0.2387369138872474,0.9549476555489896,SAFE (+2),4,1,12.960929,13.572397232055664
task_9,0.18729393752429066,0.7491757500971626,SAFE (+2),4,1,4.928475,3.692293882369995
task_10,0.22941148903921735,0.9176459561568694,SAFE (+2),4,1,14.021231,12.866525650024414
task_11,0.16517874793368886,0.6607149917347555,SAFE (+2),4,1,5.7769723,3.816932201385498
task_12,0.7173628992218807,0.7173628992218807,PERFECT,2,2,50.322483,70.1492691040039
task_13,0.6680632569699086,0.6680632569699086,PERFECT,2,2,16.160486,24.190053939819336
task_14,0.7118892033746219,0.7118892033746219,PERFECT,2,2,55.547253,78.02794647216797
task_15,0.5899429863639659,0.5899429863639659,PERFECT,2,2,19.246647,32.62458801269531
task_16,0.0,0.03593396882385144,FATAL,2,4,561.3461,20.17139434814453
task_17,0.0,0.0710075681226345,FATAL,2,4,1095.0826,77.7591552734375
task_18,0.0,0.1116391114535865,FATAL,2,4,413.2273,46.132328033447266
task_19,0.0,0.0924250459912482,FATAL,16,64,81.18401,878.3767700195312
task_20,0.0,0.13683223007620948,FATAL,16,64,30.92,225.97015380859375
task_21,0.30123982758550877,0.30123982758550877,PERFECT,2,2,32.031914,9.649288177490234
task_22,0.4604391979250485,0.4604391979250485,PERFECT,2,2,17.680754,8.140912055969238
task_23,0.2953840608869602,0.2953840608869602,PERFECT,2,2,32.942486,9.730685234069824
task_24,0.4583267508232803,0.4583267508232803,PERFECT,2,2,18.399765,8.433104515075684
task_0,0.28157725067198974,0.28157725067198974,PERFECT,1,1,12.627507,3.5556187629699707
task_1,0.24240204188938716,0.24240204188938716,PERFECT,1,1,4.6976376,1.1387169361114502
task_2,0.12065069005408811,0.12065069005408811,PERFECT,1,1,53.98949,6.513869285583496
task_3,0.1256846547138958,0.1256846547138958,PERFECT,1,1,30.109867,3.784348249435425
task_4,0.32672934961418365,0.6534586992283673,SAFE (+1),16,8,18.46189,12.064082145690918
task_5,0.31353321812069285,0.6270664362413857,SAFE (+1),16,8,7.8222513,4.905071258544922
task_6,0.3267063214074041,0.6534126428148082,SAFE (+1),16,8,23.98162,15.669894218444824
task_7,0.2764926343632742,0.5529852687265484,SAFE (+1),16,8,11.355641,6.2795023918151855
task_8,0.20791659318043043,0.8316663727217217,SAFE (+2),4,1,11.287706,13.572397232055664
task_9,0.18903830245868636,0.7561532098347454,SAFE (+2),4,1,4.882997,3.692293882369995
task_10,0.24643099162156584,0.9857239664862634,SAFE (+2),4,1,13.052869,12.866525650024414
